registrationId,studentCode,courseCode,registrationDate,registrationStatus,cancelDate,notes,createdAt,updatedAt
281,B01,DTDM_2425S1,2025-11-21 19:05:14.0,PENDING,,,2025-11-21 19:05:14.0,
331,B02,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
332,B03,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
333,B04,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
334,B05,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
335,B06,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
336,B07,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
337,B08,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
338,B09,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
339,B10,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
340,B11,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
341,B12,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
342,B13,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
343,B14,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
344,B15,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
345,B16,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
346,B17,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
347,B18,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
348,B19,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
349,B20,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
350,B21,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
351,B22,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
352,B23,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
353,B24,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
354,B25,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
355,B26,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
356,B27,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
357,B28,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
358,B29,DTDM_2425S1,2025-11-21 19:11:08.0,PENDING,,,2025-11-21 19:11:08.0,
359,B30,DTDM_2425S1,2025-11-21 19:11:09.0,PENDING,,,2025-11-21 19:11:09.0,
360,B31,DTDM_2425S1,2025-11-21 19:11:09.0,PENDING,,,2025-11-21 19:11:09.0,
361,B32,DTDM_2425S1,2025-11-21 19:11:09.0,PENDING,,,2025-11-21 19:11:09.0,
362,B33,DTDM_2425S1,2025-11-21 19:11:09.0,PENDING,,,2025-11-21 19:11:09.0,
363,B34,DTDM_2425S1,2025-11-21 19:11:09.0,PENDING,,,2025-11-21 19:11:09.0,
364,B35,DTDM_2425S1,2025-11-21 19:11:09.0,PENDING,,,2025-11-21 19:11:09.0,
365,B36,DTDM_2425S1,2025-11-21 19:11:09.0,PENDING,,,2025-11-21 19:11:09.0,
366,B37,DTDM_2425S1,2025-11-21 19:11:09.0,PENDING,,,2025-11-21 19:11:09.0,
367,B38,DTDM_2425S1,2025-11-21 19:11:09.0,PENDING,,,2025-11-21 19:11:09.0,
368,B39,DTDM_2425S1,2025-11-21 19:11:09.0,PENDING,,,2025-11-21 19:11:09.0,
369,B40,DTDM_2425S1,2025-11-21 19:11:09.0,PENDING,,,2025-11-21 19:11:09.0,
370,B41,DTDM_2425S1,2025-11-21 19:11:09.0,PENDING,,,2025-11-21 19:11:09.0,
371,B42,DTDM_2425S1,2025-11-21 19:11:09.0,PENDING,,,2025-11-21 19:11:09.0,
372,B43,DTDM_2425S1,2025-11-21 19:11:09.0,PENDING,,,2025-11-21 19:11:09.0,
373,B44,DTDM_2425S1,2025-11-21 19:11:09.0,PENDING,,,2025-11-21 19:11:09.0,
374,B45,DTDM_2425S1,2025-11-21 19:11:09.0,PENDING,,,2025-11-21 19:11:09.0,
375,B46,DTDM_2425S1,2025-11-21 19:11:09.0,PENDING,,,2025-11-21 19:11:09.0,
376,B47,DTDM_2425S1,2025-11-21 19:11:09.0,PENDING,,,2025-11-21 19:11:09.0,
377,B48,DTDM_2425S1,2025-11-21 19:11:09.0,PENDING,,,2025-11-21 19:11:09.0,
378,B49,DTDM_2425S1,2025-11-21 19:11:09.0,PENDING,,,2025-11-21 19:11:09.0,
379,B50,DTDM_2425S1,2025-11-21 19:11:09.0,PENDING,,,2025-11-21 19:11:09.0,
